Pop,Group
BG01,ANCESTRAL
Sauva,SOUTH_LOW
Montsenymid,SOUTH_MID
BG04,EAST
BG05,EAST
BG07,EAST
Coscollet,CENTRAL
Cimadal,CENTRAL
Carlac,PYRENEES
Conangles,PYRENEES
Viros,PYRENEES
